127.0.0.1 - - [17/May/2023:09:24:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/May/2023:09:24:53 +0900] "GET /ServletStudy/gugudan HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [17/May/2023:09:24:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/May/2023:09:27:33 +0900] "GET /ServletStudy/gugudan HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [17/May/2023:09:39:10 +0900] "GET /ServletStudy/gugudan.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [17/May/2023:09:40:03 +0900] "GET /ServletStudy/gugudan.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [17/May/2023:09:46:25 +0900] "GET /ServletStudy/gugudan.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [17/May/2023:09:46:47 +0900] "GET /ServletStudy/gugudan.jsp?&num=4 HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [17/May/2023:09:46:52 +0900] "GET /ServletStudy/gugudan.jsp?&num=9 HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [17/May/2023:09:46:56 +0900] "GET /ServletStudy/gugudan.jsp?&num=0 HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [17/May/2023:09:47:38 +0900] "GET /ServletStudy/gugudan.jsp?&num=0&type=table HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [17/May/2023:09:56:42 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 500 3334
0:0:0:0:0:0:0:1 - - [17/May/2023:09:59:38 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [17/May/2023:09:59:47 +0900] "GET /ServletStudy/gugudan2.jsp&type=table HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [17/May/2023:10:01:16 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [17/May/2023:10:02:11 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [17/May/2023:10:04:48 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [17/May/2023:10:05:06 +0900] "GET /ServletStudy/gugudan2.jsp?type=table HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [17/May/2023:10:06:39 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [17/May/2023:10:06:46 +0900] "GET /ServletStudy/gugudan2.jsp?type=table HTTP/1.1" 200 1982
0:0:0:0:0:0:0:1 - - [17/May/2023:10:13:32 +0900] "GET /ServletStudy/gugudan HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [17/May/2023:10:13:54 +0900] "GET /ServletStudy/myservlet5_1 HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [17/May/2023:10:14:28 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [17/May/2023:10:14:34 +0900] "GET /ServletStudy/gugudan2.jsp?type=table HTTP/1.1" 200 1982
0:0:0:0:0:0:0:1 - - [17/May/2023:10:15:18 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [17/May/2023:10:15:27 +0900] "GET /ServletStudy/gugudan2.jsp?type=table&dan=3 HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [17/May/2023:10:15:50 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [17/May/2023:10:15:59 +0900] "GET /ServletStudy/gugudan2.jsp?type=table&dan=3 HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [17/May/2023:10:17:01 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [17/May/2023:10:25:01 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [17/May/2023:10:25:05 +0900] "GET /ServletStudy/gugudan2.jsp?type=table HTTP/1.1" 200 1982
0:0:0:0:0:0:0:1 - - [17/May/2023:10:34:47 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [17/May/2023:10:35:18 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [17/May/2023:10:37:04 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [17/May/2023:10:37:14 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [17/May/2023:10:39:18 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 3951
0:0:0:0:0:0:0:1 - - [17/May/2023:10:43:21 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [17/May/2023:10:47:53 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 2138
0:0:0:0:0:0:0:1 - - [17/May/2023:10:48:00 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 2138
0:0:0:0:0:0:0:1 - - [17/May/2023:10:48:26 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1724
0:0:0:0:0:0:0:1 - - [17/May/2023:10:49:04 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [17/May/2023:10:49:27 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [17/May/2023:10:50:00 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [17/May/2023:10:50:06 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [17/May/2023:10:50:17 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [17/May/2023:10:50:48 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [17/May/2023:10:51:09 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [17/May/2023:10:51:34 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [17/May/2023:10:51:47 +0900] "GET /ServletStudy/gugudan2.jsp?col=3 HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [17/May/2023:10:51:50 +0900] "GET /ServletStudy/gugudan2.jsp?col=4 HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [17/May/2023:10:52:15 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [17/May/2023:10:52:32 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [17/May/2023:10:52:55 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [17/May/2023:10:52:55 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [17/May/2023:10:53:40 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1868
